Field Name ,Question,Grouping,Max,
pd_warde_89___0,Amikacin (injection) (choice=Emergency Room),ER Medication,1,
pd_warde_89___1,Amikacin (injection) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_89___2,Amikacin (injection) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_89___3,Amikacin (injection) (choice=Supply Room),Supply Medication,1,
pd_warde_90___0,"Azithromycin (capsule, oral liquid) (choice=Emergency Room)",ER Medication,1,
pd_warde_90___1,"Azithromycin (capsule, oral liquid) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_90___2,"Azithromycin (capsule, oral liquid) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_90___3,"Azithromycin (capsule, oral liquid) (choice=Supply Room)",Supply Medication,1,
pd_warde_91___0,"Chloramphenicol (Capsule, oral liquid, injection) (choice=Emergency Room)",ER Medication,1,
pd_warde_91___1,"Chloramphenicol (Capsule, oral liquid, injection) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_91___2,"Chloramphenicol (Capsule, oral liquid, injection) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_91___3,"Chloramphenicol (Capsule, oral liquid, injection) (choice=Supply Room)",Supply Medication,1,
pd_warde_92___0,"Ciprofloxacin (oral liquid, IV infusion, tablet) (choice=Emergency Room)",ER Medication,1,
pd_warde_92___1,"Ciprofloxacin (oral liquid, IV infusion, tablet) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_92___2,"Ciprofloxacin (oral liquid, IV infusion, tablet) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_92___3,"Ciprofloxacin (oral liquid, IV infusion, tablet) (choice=Supply Room)",Supply Medication,1,
pd_warde_93___0,"Clarithromycin/Erythromycin (tablet, oral liquid, injection) (choice=Emergency Room)",ER Medication,1,
pd_warde_93___1,"Clarithromycin/Erythromycin (tablet, oral liquid, injection) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_93___2,"Clarithromycin/Erythromycin (tablet, oral liquid, injection) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_93___3,"Clarithromycin/Erythromycin (tablet, oral liquid, injection) (choice=Supply Room)",Supply Medication,1,
pd_warde_94___0,"Clindamycin (capsule, injection, oral liquid) (choice=Emergency Room)",ER Medication,1,
pd_warde_94___1,"Clindamycin (capsule, injection, oral liquid) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_94___2,"Clindamycin (capsule, injection, oral liquid) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_94___3,"Clindamycin (capsule, injection, oral liquid) (choice=Supply Room)",Supply Medication,1,
pd_warde_95___0,"Doxycycline (oral liquid, tablet, injection) (choice=Emergency Room)",ER Medication,1,
pd_warde_95___1,"Doxycycline (oral liquid, tablet, injection) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_95___2,"Doxycycline (oral liquid, tablet, injection) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_95___3,"Doxycycline (oral liquid, tablet, injection) (choice=Supply Room)",Supply Medication,1,
pd_warde_96___0,Gentamycin (injection) (choice=Emergency Room),ER Medication,1,
pd_warde_96___1,Gentamycin (injection) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_96___2,Gentamycin (injection) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_96___3,Gentamycin (injection) (choice=Supply Room),Supply Medication,1,
pd_wardm2___0,Gentian violet (choice=Emergency Room),ER Medication,1,
pd_wardm2___1,Gentian violet (choice=Inpatient Ward),Ped Medication,1,
pd_wardm2___2,Gentian violet (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_wardm2___3,Gentian violet (choice=Supply Room),Supply Medication,1,
pd_warde_97___0,"Metronidazole (injection, oral liquid, tablet) (choice=Emergency Room)",ER Medication,1,
pd_warde_97___1,"Metronidazole (injection, oral liquid, tablet) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_97___2,"Metronidazole (injection, oral liquid, tablet) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_97___3,"Metronidazole (injection, oral liquid, tablet) (choice=Supply Room)",Supply Medication,1,
pd_warde_99___0,Spectinomycin (tablet) (choice=Emergency Room),ER Medication,1,
pd_warde_99___1,Spectinomycin (tablet) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_99___2,Spectinomycin (tablet) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_99___3,Spectinomycin (tablet) (choice=Supply Room),Supply Medication,1,
pd_warde_100___0,"Sulfamethoxazole + trimethoprim (injection, oral liquid, tablet) (choice=Emergency Room)",ER Medication,1,
pd_warde_100___1,"Sulfamethoxazole + trimethoprim (injection, oral liquid, tablet) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_100___2,"Sulfamethoxazole + trimethoprim (injection, oral liquid, tablet) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_100___3,"Sulfamethoxazole + trimethoprim (injection, oral liquid, tablet) (choice=Supply Room)",Supply Medication,1,
pd_warde_101___0,Vancomycin (tablet) (choice=Emergency Room),ER Medication,1,
pd_warde_101___1,Vancomycin (tablet) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_101___2,Vancomycin (tablet) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_101___3,Vancomycin (tablet) (choice=Supply Room),Supply Medication,1,
pd_warde_102___0,Anti-fungals (choice=Emergency Room),ER Medication,1,
pd_warde_102___1,Anti-fungals (choice=Inpatient Ward),Ped Medication,1,
pd_warde_102___2,Anti-fungals (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_102___3,Anti-fungals (choice=Supply Room),Supply Medication,1,
pd_warde_103___0,Amphotericin B (injection) (choice=Emergency Room),ER Medication,1,
pd_warde_103___1,Amphotericin B (injection) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_103___2,Amphotericin B (injection) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_103___3,Amphotericin B (injection) (choice=Supply Room),Supply Medication,1,
pd_warde_104___0,"Fluconazole (capsule, injection, oral liquid) (choice=Emergency Room)",ER Medication,1,
pd_warde_104___1,"Fluconazole (capsule, injection, oral liquid) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_104___2,"Fluconazole (capsule, injection, oral liquid) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_104___3,"Fluconazole (capsule, injection, oral liquid) (choice=Supply Room)",Supply Medication,1,
pd_warde_111___0,Anti-tuberculosis medicines according to national protocol (choice=Emergency Room),ER Medication,1,
pd_warde_111___1,Anti-tuberculosis medicines according to national protocol (choice=Inpatient Ward),Ped Medication,1,
pd_warde_111___2,Anti-tuberculosis medicines according to national protocol (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_111___3,Anti-tuberculosis medicines according to national protocol (choice=Supply Room),Supply Medication,1,
pd_warde_112___0,Anti-leprosy medicines (choice=Emergency Room),ER Medication,1,
pd_warde_112___1,Anti-leprosy medicines (choice=Inpatient Ward),Ped Medication,1,
pd_warde_112___2,Anti-leprosy medicines (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_112___3,Anti-leprosy medicines (choice=Supply Room),Supply Medication,1,
pd_warde_113___0,Anti-virals (choice=Emergency Room),ER Medication,1,
pd_warde_113___1,Anti-virals (choice=Inpatient Ward),Ped Medication,1,
pd_warde_113___2,Anti-virals (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_113___3,Anti-virals (choice=Supply Room),Supply Medication,1,
pd_warde_114___0,Anti-retrovirals (choice=Emergency Room),ER Medication,1,
pd_warde_114___1,Anti-retrovirals (choice=Inpatient Ward),Ped Medication,1,
pd_warde_114___2,Anti-retrovirals (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_114___3,Anti-retrovirals (choice=Supply Room),Supply Medication,1,
pd_warde_115___0,Anti-hepatitis medicines (choice=Emergency Room),ER Medication,1,
pd_warde_115___1,Anti-hepatitis medicines (choice=Inpatient Ward),Ped Medication,1,
pd_warde_115___2,Anti-hepatitis medicines (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_115___3,Anti-hepatitis medicines (choice=Supply Room),Supply Medication,1,
pd_warde_119___0,"Metronidazole (injection, oral liquid, tablet) (choice=Emergency Room)",ER Medication,1,
pd_warde_119___1,"Metronidazole (injection, oral liquid, tablet) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_119___2,"Metronidazole (injection, oral liquid, tablet) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_119___3,"Metronidazole (injection, oral liquid, tablet) (choice=Supply Room)",Supply Medication,1,
pd_warde_120___0,Antileishmaniasis medicines (choice=Emergency Room),ER Medication,1,
pd_warde_120___1,Antileishmaniasis medicines (choice=Inpatient Ward),Ped Medication,1,
pd_warde_120___2,Antileishmaniasis medicines (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_120___3,Antileishmaniasis medicines (choice=Supply Room),Supply Medication,1,
pd_warde_121___0,Amphotericin B (injection) (choice=Emergency Room),ER Medication,1,
pd_warde_121___1,Amphotericin B (injection) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_121___2,Amphotericin B (injection) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_121___3,Amphotericin B (injection) (choice=Supply Room),Supply Medication,1,
pd_warde_125___0,Anti-malarials according to national protocol and resistance profile (choice=Emergency Room),ER Medication,1,
pd_warde_125___1,Anti-malarials according to national protocol and resistance profile (choice=Inpatient Ward),Ped Medication,1,
pd_warde_125___2,Anti-malarials according to national protocol and resistance profile (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_125___3,Anti-malarials according to national protocol and resistance profile (choice=Supply Room),Supply Medication,1,
pd_warde_126___0,Anti-pneumocytosis and other antitoxoplasmosis medicines (choice=Emergency Room),ER Medication,1,
pd_warde_126___1,Anti-pneumocytosis and other antitoxoplasmosis medicines (choice=Inpatient Ward),Ped Medication,1,
pd_warde_126___2,Anti-pneumocytosis and other antitoxoplasmosis medicines (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_126___3,Anti-pneumocytosis and other antitoxoplasmosis medicines (choice=Supply Room),Supply Medication,1,
pd_warde_128___0,Sulfadiazine (tablet) (choice=Emergency Room),ER Medication,1,
pd_warde_128___1,Sulfadiazine (tablet) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_128___2,Sulfadiazine (tablet) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_128___3,Sulfadiazine (tablet) (choice=Supply Room),Supply Medication,1,
pd_warde_129___0,"Sulfamethoxazole + trimethoprim (injection, oral liquid, tablet) (choice=Emergency Room)",ER Medication,1,
pd_warde_129___1,"Sulfamethoxazole + trimethoprim (injection, oral liquid, tablet) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_129___2,"Sulfamethoxazole + trimethoprim (injection, oral liquid, tablet) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_129___3,"Sulfamethoxazole + trimethoprim (injection, oral liquid, tablet) (choice=Supply Room)",Supply Medication,1,
pd_warde_130___0,Anti-trypanosomal medicines (choice=Emergency Room),ER Medication,1,
pd_warde_130___1,Anti-trypanosomal medicines (choice=Inpatient Ward),Ped Medication,1,
pd_warde_130___2,Anti-trypanosomal medicines (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_130___3,Anti-trypanosomal medicines (choice=Supply Room),Supply Medication,1,
pd_warde_131___0,Blood products of human origins and plasma substititutes (choice=Emergency Room),ER Medication,1,
pd_warde_131___1,Blood products of human origins and plasma substititutes (choice=Inpatient Ward),Ped Medication,1,
pd_warde_131___2,Blood products of human origins and plasma substititutes (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_131___3,Blood products of human origins and plasma substititutes (choice=Supply Room),Supply Medication,1,
pd_warde_132___0,Blood and blood components (choice=Emergency Room),ER Medication,1,
pd_warde_132___1,Blood and blood components (choice=Inpatient Ward),Ped Medication,1,
pd_warde_132___2,Blood and blood components (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_132___3,Blood and blood components (choice=Supply Room),Supply Medication,1,
pd_warde_133___0,Fresh frozen plasma (choice=Emergency Room),ER Medication,1,
pd_warde_133___1,Fresh frozen plasma (choice=Inpatient Ward),Ped Medication,1,
pd_warde_133___2,Fresh frozen plasma (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_133___3,Fresh frozen plasma (choice=Supply Room),Supply Medication,1,
pd_warde_134___0,Platelet (choice=Emergency Room),ER Medication,1,
pd_warde_134___1,Platelet (choice=Inpatient Ward),Ped Medication,1,
pd_warde_134___2,Platelet (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_134___3,Platelet (choice=Supply Room),Supply Medication,1,
pd_warde_135___0,Red blood cells (choice=Emergency Room),ER Medication,1,
pd_warde_135___1,Red blood cells (choice=Inpatient Ward),Ped Medication,1,
pd_warde_135___2,Red blood cells (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_135___3,Red blood cells (choice=Supply Room),Supply Medication,1,
pd_warde_136___0,Whole blood (choice=Emergency Room),ER Medication,1,
pd_warde_136___1,Whole blood (choice=Inpatient Ward),Ped Medication,1,
pd_warde_136___2,Whole blood (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_136___3,Whole blood (choice=Supply Room),Supply Medication,1,
pd_warde_142___0,Plasma substitutes (choice=Emergency Room),ER Medication,1,
pd_warde_142___1,Plasma substitutes (choice=Inpatient Ward),Ped Medication,1,
pd_warde_142___2,Plasma substitutes (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_142___3,Plasma substitutes (choice=Supply Room),Supply Medication,1,
pd_warde_143___0,Dextran 70 (choice=Emergency Room),ER Medication,1,
pd_warde_143___1,Dextran 70 (choice=Inpatient Ward),Ped Medication,1,
pd_warde_143___2,Dextran 70 (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_143___3,Dextran 70 (choice=Supply Room),Supply Medication,1,
pd_wardm_11___0,Dobutamine (choice=Emergency Room),ER Medication,1,
pd_wardm_11___1,Dobutamine (choice=Inpatient Ward),Ped Medication,1,
pd_wardm_11___2,Dobutamine (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_wardm_11___3,Dobutamine (choice=Supply Room),Supply Medication,1,
pd_wardm_12___0,Dopamine (choice=Emergency Room),ER Medication,1,
pd_wardm_12___1,Dopamine (choice=Inpatient Ward),Ped Medication,1,
pd_wardm_12___2,Dopamine (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_wardm_12___3,Dopamine (choice=Supply Room),Supply Medication,1,
pd_warde_146___0,"Furosemide (injection, oral liquid, tablet) (choice=Emergency Room)",ER Medication,1,
pd_warde_146___1,"Furosemide (injection, oral liquid, tablet) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_146___2,"Furosemide (injection, oral liquid, tablet) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_146___3,"Furosemide (injection, oral liquid, tablet) (choice=Supply Room)",Supply Medication,1,
pd_wardm_13___0,Corticosteroids (oral) (choice=Emergency Room),ER Medication,1,
pd_wardm_13___1,Corticosteroids (oral) (choice=Inpatient Ward),Ped Medication,1,
pd_wardm_13___2,Corticosteroids (oral) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_wardm_13___3,Corticosteroids (oral) (choice=Supply Room),Supply Medication,1,
pd_warde_150___0,Hydrocortisone (cream or ointment) (choice=Emergency Room),ER Medication,1,
pd_warde_150___1,Hydrocortisone (cream or ointment) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_150___2,Hydrocortisone (cream or ointment) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_150___3,Hydrocortisone (cream or ointment) (choice=Supply Room),Supply Medication,1,
pd_warde_151___0,Anti-septics (choice=Emergency Room),ER Medication,1,
pd_warde_151___1,Anti-septics (choice=Inpatient Ward),Ped Medication,1,
pd_warde_151___2,Anti-septics (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_151___3,Anti-septics (choice=Supply Room),Supply Medication,1,
pd_warde_152___0,"Chlorhexidine (solution, gel) (choice=Emergency Room)",ER Medication,1,
pd_warde_152___1,"Chlorhexidine (solution, gel) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_152___2,"Chlorhexidine (solution, gel) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_152___3,"Chlorhexidine (solution, gel) (choice=Supply Room)",Supply Medication,1,
pd_warde_155___0,Disinfectants (choice=Emergency Room),ER Medication,1,
pd_warde_155___1,Disinfectants (choice=Inpatient Ward),Ped Medication,1,
pd_warde_155___2,Disinfectants (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_155___3,Disinfectants (choice=Supply Room),Supply Medication,1,
pd_warde_156___0,Alcohol-based hand rub (choice=Emergency Room),ER Medication,1,
pd_warde_156___1,Alcohol-based hand rub (choice=Inpatient Ward),Ped Medication,1,
pd_warde_156___2,Alcohol-based hand rub (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_156___3,Alcohol-based hand rub (choice=Supply Room),Supply Medication,1,
pd_warde_168___0,Medicines used in diarrhea (choice=Emergency Room),ER Medication,1,
pd_warde_168___1,Medicines used in diarrhea (choice=Inpatient Ward),Ped Medication,1,
pd_warde_168___2,Medicines used in diarrhea (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_168___3,Medicines used in diarrhea (choice=Supply Room),Supply Medication,1,
pd_wardm_5___0,"Iron (oral liquid, tablets) (choice=Emergency Room)",ER Medication,1,
pd_wardm_5___1,"Iron (oral liquid, tablets) (choice=Inpatient Ward)",Ped Medication,1,
pd_wardm_5___2,"Iron (oral liquid, tablets) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_wardm_5___3,"Iron (oral liquid, tablets) (choice=Supply Room)",Supply Medication,1,
pd_warde_169___0,Oral rehydration salts (choice=Emergency Room),ER Medication,1,
pd_warde_169___1,Oral rehydration salts (choice=Inpatient Ward),Ped Medication,1,
pd_warde_169___2,Oral rehydration salts (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_169___3,Oral rehydration salts (choice=Supply Room),Supply Medication,1,
pd_warde_170___0,Zinc sulfate (choice=Emergency Room),ER Medication,1,
pd_warde_170___1,Zinc sulfate (choice=Inpatient Ward),Ped Medication,1,
pd_warde_170___2,Zinc sulfate (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_170___3,Zinc sulfate (choice=Supply Room),Supply Medication,1,
pd_warde_171___0,Respiratory medicines (choice=Emergency Room),ER Medication,1,
pd_warde_171___1,Respiratory medicines (choice=Inpatient Ward),Ped Medication,1,
pd_warde_171___2,Respiratory medicines (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_171___3,Respiratory medicines (choice=Supply Room),Supply Medication,1,
pd_wardm_14___0,Aminophylline (injection) (choice=Emergency Room),ER Medication,1,
pd_wardm_14___1,Aminophylline (injection) (choice=Inpatient Ward),Ped Medication,1,
pd_wardm_14___2,Aminophylline (injection) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_wardm_14___3,Aminophylline (injection) (choice=Supply Room),Supply Medication,1,
pd_warde_172___0,Budesonide (inhalation) (choice=Emergency Room),ER Medication,1,
pd_warde_172___1,Budesonide (inhalation) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_172___2,Budesonide (inhalation) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_172___3,Budesonide (inhalation) (choice=Supply Room),Supply Medication,1,
pd_warde_173___0,Epinephrine (injection) (choice=Emergency Room),ER Medication,1,
pd_warde_173___1,Epinephrine (injection) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_173___2,Epinephrine (injection) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_173___3,Epinephrine (injection) (choice=Supply Room),Supply Medication,1,
pd_warde_174___0,"Salbutamol (injection, inhalation) (choice=Emergency Room)",ER Medication,1,
pd_warde_174___1,"Salbutamol (injection, inhalation) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_174___2,"Salbutamol (injection, inhalation) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_174___3,"Salbutamol (injection, inhalation) (choice=Supply Room)",Supply Medication,1,
pd_warde_175___0,"Solutions correcting water, electrolyte, and acid-base disturbances (choice=Emergency Room)",ER Medication,1,
pd_warde_175___1,"Solutions correcting water, electrolyte, and acid-base disturbances (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_175___2,"Solutions correcting water, electrolyte, and acid-base disturbances (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_175___3,"Solutions correcting water, electrolyte, and acid-base disturbances (choice=Supply Room)",Supply Medication,1,
pd_wardm_15___0,"Dextrose (5%, 10%, 25%, 50%) (choice=Emergency Room)",ER Medication,1,
pd_wardm_15___1,"Dextrose (5%, 10%, 25%, 50%) (choice=Inpatient Ward)",Ped Medication,1,
pd_wardm_15___2,"Dextrose (5%, 10%, 25%, 50%) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_wardm_15___3,"Dextrose (5%, 10%, 25%, 50%) (choice=Supply Room)",Supply Medication,1,
pd_warde_178___0,"Glucose (5%, 10%, 50%) (choice=Emergency Room)",ER Medication,1,
pd_warde_178___1,"Glucose (5%, 10%, 50%) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_178___2,"Glucose (5%, 10%, 50%) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_178___3,"Glucose (5%, 10%, 50%) (choice=Supply Room)",Supply Medication,1,
pd_warde_179___0,Glucose with sodium chloride (5% glucose 0.9% NaCl; 5% glucose 0.45% Nacl) (choice=Emergency Room),ER Medication,1,
pd_warde_179___1,Glucose with sodium chloride (5% glucose 0.9% NaCl; 5% glucose 0.45% Nacl) (choice=Inpatient Ward),Ped Medication,1,
pd_warde_179___2,Glucose with sodium chloride (5% glucose 0.9% NaCl; 5% glucose 0.45% Nacl) (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_179___3,Glucose with sodium chloride (5% glucose 0.9% NaCl; 5% glucose 0.45% Nacl) (choice=Supply Room),Supply Medication,1,
pd_warde_176___0,Oral rehydration salts (choice=Emergency Room),ER Medication,1,
pd_warde_176___1,Oral rehydration salts (choice=Inpatient Ward),Ped Medication,1,
pd_warde_176___2,Oral rehydration salts (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_176___3,Oral rehydration salts (choice=Supply Room),Supply Medication,1,
pd_warde_180___0,"Potassium chloride (7.5%, 15%) (choice=Emergency Room)",ER Medication,1,
pd_warde_180___1,"Potassium chloride (7.5%, 15%) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_180___2,"Potassium chloride (7.5%, 15%) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_180___3,"Potassium chloride (7.5%, 15%) (choice=Supply Room)",Supply Medication,1,
pd_warde_181___0,"Sodium chloride (0.225%, 0.9%) (choice=Emergency Room)",ER Medication,1,
pd_warde_181___1,"Sodium chloride (0.225%, 0.9%) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_181___2,"Sodium chloride (0.225%, 0.9%) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_181___3,"Sodium chloride (0.225%, 0.9%) (choice=Supply Room)",Supply Medication,1,
pd_warde_182___0,"Sodium bicarbonate (1.4%, 8.4%) (choice=Emergency Room)",ER Medication,1,
pd_warde_182___1,"Sodium bicarbonate (1.4%, 8.4%) (choice=Inpatient Ward)",Ped Medication,1,
pd_warde_182___2,"Sodium bicarbonate (1.4%, 8.4%) (choice=Pharmacy/Store)",Pharmacy Medication,1,
pd_warde_182___3,"Sodium bicarbonate (1.4%, 8.4%) (choice=Supply Room)",Supply Medication,1,
pd_warde_183___0,Sodium lactate (choice=Emergency Room),ER Medication,1,
pd_warde_183___1,Sodium lactate (choice=Inpatient Ward),Ped Medication,1,
pd_warde_183___2,Sodium lactate (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_warde_183___3,Sodium lactate (choice=Supply Room),Supply Medication,1,
pd_wardm_20___0,Cholera saline (choice=Emergency Room),ER Medication,1,
pd_wardm_20___1,Cholera saline (choice=Inpatient Ward),Ped Medication,1,
pd_wardm_20___2,Cholera saline (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_wardm_20___3,Cholera saline (choice=Supply Room),Supply Medication,1,
pd_wardm_7___0,Water for injection (choice=Emergency Room),ER Medication,1,
pd_wardm_7___1,Water for injection (choice=Inpatient Ward),Ped Medication,1,
pd_wardm_7___2,Water for injection (choice=Pharmacy/Store),Pharmacy Medication,1,
pd_wardm_7___3,Water for injection (choice=Supply Room),Supply Medication,1,
pd_ward_equip_1,Are vital signs charts available and maintained daily?,Ped Equipment,1,
pd_ward_equip_2,Is the intake and output chart available and maintained daily?,Ped Equipment,1,
ped_equip_1,Thermometer,Ped Equipment,2,
ped_equip_2,Weighing machine/scales for children,Ped Equipment,2,
ped_equip_3,Measuring board/ruler to measure length and height (lying/standing according to age),Ped Equipment,2,
ped_equip_4,Height measuring scale/ruler,Ped Equipment,2,
ped_equip_5,Blood pressure machine with multiple size cuffs,Ped Equipment,2,
ped_equip_6,Pulse oximeter,Ped Equipment,2,
ped_equip_8,Pediatric stethoscope,Ped Equipment,2,
ped_equip_9,Ophthalmoscope,Ped Equipment,2,
ped_equip_10,Otoscope,Ped Equipment,2,
ped_equip_11,Examination light,Ped Equipment,2,
ped_equip_12,Tongue depressor,Ped Equipment,2,
ped_equip_13,"Supplies for taking blood, making blood smears",Ped Equipment,2,
ped_equip_14,Tubes to take blood,Ped Equipment,2,
ped_equip_16,O2 equipment,Ped Equipment,2,
ped_equip_17,Oxygen source,Ped Equipment,2,
ped_equip_18,Oxygen cylinder,Ped Equipment,2,
ped_equip_19,Oxygen concentrator,Ped Equipment,2,
ped_equip_20,Central supply,Ped Equipment,2,
ped_equip_21,Flow meters for oxygen,Ped Equipment,2,
ped_equip_22,Nasal prongs,Ped Equipment,2,
ped_equip_24,Masks: Infant size,Ped Equipment,2,
ped_equip_25,Masks: Child size,Ped Equipment,2,
ped_equip_26,Masks: Adult size,Ped Equipment,2,
ped_equip_27,Self-inflating resuscitation bags with masks of different sizes,Ped Equipment,2,
ped_equip_29,Nebulizers: Electricity driven,Ped Equipment,2,
ped_equip_30,Nebulizers: O2 driven,Ped Equipment,2,
ped_equip_31,Nebulizers: Foot pump driven,Ped Equipment,2,
ped_equip_32,Spacers with masks for administration of metered doses,Ped Equipment,2,
ped_equip_33,I.V. giving sets with chambers for paediatric use,Ped Equipment,2,
ped_equip_34,Paediatric burettes,Ped Equipment,2,
ped_equip_35,Equipment for intra-osseous fluid administration,Ped Equipment,2,
ped_equip_36,Butterflies and/or cannulas of paediatric size,Ped Equipment,2,
ped_equip_37,Blood collection/transfusion kits,Ped Equipment,2,
ped_equip_38,Lumbar puncture needles,Ped Equipment,2,
ped_equip_39,Infusion pump,Ped Equipment,2,
ped_equip_40,Catheters,Ped Equipment,2,
ped_equip_41,Butterfly needle of different sizes,Ped Equipment,2,
ped_equip_42,Chest tubes,Ped Equipment,2,
ped_equip_43,Suction equipment,Ped Equipment,2,
ped_equip_44,Nasogastric tube - pediatric size,Ped Equipment,2,
ped_equip_45,Heater/warmer,Ped Equipment,2,
ped_equip_46,"Supplies to mix ORS, cups, spoons",Ped Equipment,2,
ped_equip_47,Blankets to prevent hypothermia,Ped Equipment,2,
ped_equip_48,Micropore/adhesive tape,Ped Equipment,2,
ped_equip_50,Stretcher and patient trolley available for patients,Ped Equipment,2,
ped_equip_53,Designated table/area for resuscitation,Ped Equipment,2,
ped_equip_54,Room thermometer,Ped Equipment,2,
